"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"177","All Fire","11450_16",0.0313328,"Rocky Mountain Subalpine-Montane Mesic Meadow",1000,2183,0,68.3995024
"178","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",396,31,0,3.1008928
"179","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",1001,3952,0,395.3138176
"180","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",1041,2960,0,296.085248
"181","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",1176,1182,0,118.2340416
"182","All Fire","11470_28",0.098306,"Western Great Plains Foothill and Piedmont Grassland",387,264,0,25.952784
"183","All Fire","11490_28",0.0969476,"Western Great Plains Shortgrass Prairie",386,4,0,0.3877904
"184","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",1042,463167,1.4,2206.6202214
"185","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",1142,171194,0.5,815.6024548
"186","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",1002,7806,0,37.1893452
"187","All Fire","11530_20_22_29_30",0.004888,"Inter-Mountain Basins Greasewood Flat",904,135,0,0.65988
"188","All Fire","11530_28",0.004916,"Inter-Mountain Basins Greasewood Flat",1177,57043,0.2,280.423388
"189","All Fire","11530_6_10_12_13_17_18_19_21",0.0009976,"Inter-Mountain Basins Greasewood Flat",1107,1,0,0.0009976
"190","All Fire","11540_13",0.0148028,"Inter-Mountain Basins Montane Riparian Systems",521,2,0,0.0296056
"191","All Fire","11540_6_12_16_17",0.0026152,"Inter-Mountain Basins Montane Riparian Systems",1003,95,0,0.248444
"192","All Fire","11540_6_12_16_17",0.0026152,"Inter-Mountain Basins Montane Riparian Systems",1108,2,0,0.0052304
"193","All Fire","11550_13_14",0.04382,"North American Warm Desert Riparian Systems",522,1,0,0.04382
"194","All Fire","11550_15",0.013255,"North American Warm Desert Riparian Systems",1212,248,0,3.28724
